REPORT_RECEIVED_DATE	IYEAR	REPORT_NUMBER	SUPPLEMENTAL_NUMBER	REPORT_TYPE	OPERATOR_ID	NAME	OPERATOR_STREET_ADDRESS	OPERATOR_CITY_NAME	OPERATOR_STATE_ABBREVIATION	OPERATOR_POSTAL_CODE	LOCAL_DATETIME	TIME_ZONE	DAYLIGHT_SAVINGS_IND	LOCATION_LATITUDE	LOCATION_LONGITUDE	COMMODITY_RELEASED_TYPE	COMMODITY_SUBTYPE	COMMODITY_DETAILS	UNINTENTIONAL_RELEASE_BBLS	INTENTIONAL_RELEASE_BBLS	RECOVERED_BBLS	FATALITY_IND	NUM_EMP_FATALITIES	NUM_CONTR_FATALITIES	NUM_ER_FATALITIES	NUM_WORKER_FATALITIES	NUM_GP_FATALITIES	FATAL	INJURY_IND	NUM_EMP_INJURIES	NUM_CONTR_INJURIES	NUM_ER_INJURIES	NUM_WORKER_INJURIES	NUM_GP_INJURIES	INJURE	ACCIDENT_IDENTIFIER	ACCIDENT_DETAILS	OPERATOR_TYPE	INCIDENT_IDENTIFIED_DATETIME	ON_OFF_SHORE	COMMUNICATION_STATE_FED_IND	PARTY_INITIATED_COMMUNICATION	INITIAL_RESPONDER_COM_DATETIME	ON_SITE_DATETIME	NRC_RPT_DATETIME	NRC_RPT_NUM	ADDITIONAL_NRC_REPORT_NUMBERS	IGNITE_IND	IGNITE_DATETIME	HOW_EXTINGUISHED	HOW_EXTINGUISHED_OTHER_DETAIL	PRODUCT_CONSUMED_BY_FIRE_BBLS	EXPLODE_IND	OIL_SPILL_RESP_PLAN_IND	OSRO_MOBILIZED_IND	OSRO_OPERATOR_NOTIFIED_DT	OSRO_ARRIVED_ON_SITE_DT	NUM_PUB_EVACUATED	ONSHORE_STATE_ABBREVIATION	ONSHORE_CITY_NAME	ONSHORE_COUNTY_NAME	FEDERAL	LOCATION_TYPE	CROSSING	BRIDGE_CROSSING_IND	BRIDGE_TYPE	RAILROAD_CROSSING_IND	RAILROAD_TYPE	ROAD_CROSSING_IND	ROAD_TYPE	WATER_CROSSING_IND	WATER_TYPE	WATER_NAME	WATER_DEPTH	WATER_SUBTYPE	YEAR_RECENT_ENG_EVALUATION	OFF_ACCIDENT_ORIGIN	OFFSHORE_STATE_ABBREVIATION	OFF_INSTATE_AREA	OFF_INSTATE_BLOCK	OFFSHORE_COUNTY_NAME	OCS_TYPE	OFF_OCS_AREA	OFF_OCS_BLOCK	ITEM_INVOLVED	PIPE_TYPE	JOINT_SUBTYPE	ITEM_INVOLVED_DETAILS	PIPE_DIAMETER	MATERIAL_INVOLVED	MATERIAL_DETAILS	PERCENT_PIPE_SMYS	CLASSIFICATION_PIPELINE_SYSTEM	WILDLIFE_IMPACT_IND	FISH_AQUATIC_IMPACT_IND	BIRDS_IMPACT_IND	TERRESTRIAL_IMPACT_IND	SOIL_CONTAMINATION	LONG_TERM_ASSESSMENT	REMEDIATION_IND	SURFACE_WATER_REMED_IND	GROUNDWATER_REMED_IND	SOIL_REMED_IND	VEGETATION_REMED_IND	WILDLIFE_REMED_IND	WATER_CONTAM_IND	OCEAN_SEAWATER_IND	SURFACE_CONTAM_IND	GROUNDWATER_CONTAM_IND	DRINKING_WATER_CONTAM_IND	PRIVATE_WELL_CONTAM_IND	PUBLIC_WATER_CONTAM_IND	AMOUNT_RELEASED_BBLS	REL_WATER_NAME	EST_COST_OPER_PAID	EST_COST_GAS_RELEASED	EST_COST_PROP_DAMAGE	EST_COST_EMERGENCY	EST_COST_ENVIRONMENTAL	EST_COST_OTHER	EST_COST_OTHER_DETAILS	PRPTY	NUM_PERSONS_HOSP_NOT_OVNGHT	NUM_INJURED_TREATED_BY_EMT	NUM_RESIDENT_BUILDING_AFFCTD	NUM_BUSINESS_BUILDING_AFFCTD	CAUSE	CAUSE_DETAILS	PREPARER_NAME	PREPARER_TITLE	PREPARER_EMAIL	PREPARER_TELEPHONE	PREPARER_FAX	LOCAL_CONTACT_NAME	LOCAL_CONTACT_EMAIL	LOCAL_CONTACT_TELEPHONE	NARRATIVE
11/16/2023	2023	20230091	38812	ORIGINAL	40759	"TIVOLI SERVICES, LLC"	2929 ALLEN PARKWAY SUITE 200	HOUSTON	TX	77019	10/19/2023 9:35	CENTRAL	NO	33.39532	-98.456	CRUDE OIL			7		0	NO						0	NO						0	AIR PATROL		CONTRACTOR WORKING FOR THE OPERATOR	10/19/2023 10:18	ONSHORE	YES	OPERATOR	10/19/2023 12:00	10/19/2023 10:23		NRC NOTIFICATION NOT REQUIRED		NO						YES	NO			0	TX	LOVING	YOUNG	NO	PIPELINE RIGHT-OF-WAY	NO																					PIPE	PIPE BODY			8	CARBON STEEL		5.7	GRAVITY GATHERING	NO				YES	YES	YES			YES			NO									0	630	2000	0	2000	0		4630	0	0	0	0	CORROSION FAILURE	EXTERNAL CORROSION	KEITH L DAWS	MAINTENANCE COORDINATOR	kdaws@tivolimidstream.com	9407815702					AIR PATROL SPOTTED STAIN AND NOTIFIED FIELD PERSONNEL AT 09:35 ON 10/19/2023. PIPELINE WAS SHUT DOWN AND FIELD PERSONNEL RESPONDED IMMEDIATELY. LEAK WAS CONFIRMED SAME DAY AT 10:18 AND LINE SEGMENT WAS ISOLATED. THE TEXAS RAILROAD COMMISSION WAS NOTIFIED AT 12:00 AND THE INCIDENT NUMBER WAS 2931. THE LINE WAS EXCAVATED AND AN EXTERNAL CORROSION PINHOLE WAS FOUND AT THE 9:00 POSITION ON THE PIPE. A PLIDCO CLAMP WAS INSTALLED AND THE SOIL WAS TILLED WITH ABSORBENT MATERIAL. THE TEXAS RAILROAD COMMISSION INSPECTED THE SITE ON 10/20/23 WITH A NOTIFICATION ID OF 369070 AND INSPECTION ID OF 1170287.
11/17/2023	2023	20230093	39048	SUPPLEMENTAL FINAL	30829	ENTERPRISE CRUDE PIPELINE LLC	1100 LOUISIANA STREET 	HOUSTON	TX	77002	10/19/2023 4:30	CENTRAL	YES	31.634	-102.26186	CRUDE OIL			2		2	NO						0	NO						0	OTHER	THIRD PARTY		10/19/2023 4:32	ONSHORE	NO			10/19/2023 5:30		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	TX	N/A	UPTON	NO	TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY	NO																					OTHER			AIR ELIMINATOR		CARBON STEEL		0.28	REPORTING-REGULATED GATHERING	NO				NO	NO	NO						NO									0	150	300	3200	0	0		3650	0	0	0	0	EQUIPMENT FAILURE	OTHER EQUIPMENT FAILURE	YAROSLAV BIL	PIPELINE COMPLIANCE ENGINEER	ybil@eprod.com	713-381-5650		YAROSLAV BIL	ybil@eprod.com	713-381-5650	"ON 10/19/2023 AT 4:30 AM CDT, THIRD PARTY NOTIFIED ENTERPRISE OF THE POTENTIAL RELEASE; UPON DISPATCH ENTERPRISE TECHNICIAN OBSERVED FAILED AIR ELIMINATOR AT JUDY JULIBETH STATION; 2 BARRELS OF OIL REACHED THE GROUND. THE LEAK WAS ISOLATED AND SOIL REMEDIATED. THE AIR ELIMINATOR DID NOT FUNCTION CORRECTLY BECAUSE OF DEBRIS PREVENTING PROPER SEAL. AFTER FURTHER INVESTIGATION, THE AIR ELIMINATOR WAS ABLE TO BE REMOVED AND REPLACED."
11/17/2023	2023	20230094	38903	SUPPLEMENTAL FINAL	300	"PLAINS PIPELINE, L.P."	"333 CLAY STREET, SUITE 1900  "	HOUSTON	TX	77002	10/18/2023 20:00	CENTRAL	YES	32.06577502	-103.6659723	CRUDE OIL			7.7		7.7	NO						0	NO						0	"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS"		OPERATOR EMPLOYEE	10/19/2023 9:15	ONSHORE	YES	OPERATOR	10/23/2023 9:30	10/19/2023 9:15		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	NM	JAL PUBLIC SCHOOLS	LEA	NO	TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY	NO																					PIPE	PIPE BODY			8	CARBON STEEL		2.77	REPORTING-REGULATED GATHERING	NO				YES	NO	NO						NO									0	584	28000	14000	0	0		42584	0	0	0	0	CORROSION FAILURE	INTERNAL CORROSION	NICOLAS A GONZALEZ	HSE REGULATORY COMPLIANCE SUPERVISOR	nicolas.gonzalez@plains.com	7136464376		NICOLAS A GONZALEZ	nicolas.gonzalez@plains.com	7136464376	"APPROXIMATELY 7.7 BARRELS OF CRUDE OIL WERE RELEASED FROM THE SEGMENT 2 RED HILLS INTERCONNECT 8INCH PIPELINE.  THE DATE AND TIME OF THE RELEASE (PART A Q4) IS INDICATIVE OF THE EARLIEST DATE/TIME THE RELEASE COULD HAVE STARTED BASED ON THE LAST TIME THE STATION HAD BEEN VISITED.  TO STOP THE IMMEDIATE RELEASE A CLAMP WAS INSTALLED.  TO PREVENT FUTURE INCIDENTS, PLAINS CUT-OUT AND REPLACED THE FAILED SECTION. A SUPPLEMENTAL REPORT WILL BE SUBMITTED PENDING FURTHER INVESTIGATION INTO THE CAUSE OF THE RELEASE.      SUPPLEMENTAL: THE CAUSE OF THE RELEASE IS ATTRIBUTED TO INTERNAL CORROSION.  ON 10/18/2023, THERE WAS NO MAINTENANCE PERFORMED ON THE PIPELINE THAT HAD THE RELEASE; THE TIME IS REFLECTIVE OF WHEN THE OPERATOR LEFT THE STATION AND CONFIRMED THERE WAS NO EVIDENCE OF A RELEASE."
11/7/2023	2023	20230089	38758	ORIGINAL FINAL	300	"PLAINS PIPELINE, L.P."	"333 CLAY STREET, SUITE 1900  "	HOUSTON	TX	77002	10/10/2023 10:00	CENTRAL	YES	32.59839	-101.58425	CRUDE OIL			100		100	NO						0	NO						0	"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS"		OPERATOR EMPLOYEE	10/11/2023 10:00	ONSHORE	YES	OPERATOR	10/11/2023 12:06	10/11/2023 11:30		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	TX	BIG SPRING	BORDEN	NO	PIPELINE RIGHT-OF-WAY	NO																					PIPE	PIPE BODY			4	CARBON STEEL		0.23	REPORTING-REGULATED GATHERING	NO				YES	NO	NO						NO									2000	1670	12500	12320	0	0		28490	0	0	0	0	CORROSION FAILURE	EXTERNAL CORROSION	NICOLAS GONZALEZ	HSE-REGULATORY COMPLIANCE - SUPERVISOR	nicolas.gonzalez@plains.com	7136464376		NICOLAS GONZALEZ	nicolas.gonzalez@plains.com	7136464376	"APPROXIMATELY 100 BARRELS OF CRUDE OIL WERE RELEASED FROM THE BEAN EAST TO GOOD STATION 4INCH PIPELINE.  THE DATE AND TIME OF THE RELEASE (PART A Q4) IS INDICATIVE OF THE EARLIEST POSSIBLE TIME THE RELEASE COULD HAVE STARTED BASED ON BASED ON THE LAST TIME THE NEARBY STATION HAD BEEN VISITED AND CONFIRMED TO BE NO RELEASE OF CRUDE OIL.  THE CAUSE OF THE RELEASE IS ATTRIBUTED TO EXTERNAL CORROSION.  TO PREVENT FUTURE INCIDENTS PLAINS INSTALLED A CLAMP, DRAINED, AND REPLACED THE FAILED SECTION OF PIPE.  ADDITIONALLY, PLAINS IS INVESTIGATING REMOVING THE PIPELINE FROM SERVICE."
10/31/2023	2023	20230087	38724	ORIGINAL	32634	"ENLINK PERMIAN, LLC"	"1722 ROUTH STREET, SUITE 1300 "	DALLAS	TX	75201	9/13/2023 23:00	CENTRAL	NO	31.353746	-102.039645	CRUDE OIL			157		20	NO						0	NO						0	NOTIFICATION FROM PUBLIC			9/13/2022 23:00	ONSHORE	NO			9/13/2023 18:00		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	TX	RANKIN	UPTON	NO	"ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY"	NO																					PIPE	PIPE BODY			8.625	CARBON STEEL		40.33	REPORTING-REGULATED GATHERING	NO				YES	NO	YES			YES			NO									4000	11775	95000	95000	67026	0		272801	0	0	0	0	CORROSION FAILURE	INTERNAL CORROSION	BRANDON MARTIN	SR. PI-DOT SPECIALIST	brandon.martin@enlink.com	4323129609		BRANDON MARTIN	brandon.martin@enlink.com	4323129609	"AN INCIDENT OF 157 BARREL SPILL RELEASE OCCURRED DUE TO INTERNAL CORROSION ON THE MC-1002 NON-DOT TRUNK LINE. UPON INVESTIGATION, IT WAS FOUND THAT  THE FAILURE OCCURRED AT A SUSPECTED LOW POINT IN THE LINE. UPON DISCOVERY OPERATIONS STOPPED FLOW AND INSTALLED A CLAMP AND THEN DE-OILED THE MC1002 TRUNK LINE USING A SEALING PIG AND A SWAB PIG TO MAKE READY FOR REPAIRS. ONCE REPAIRS WERE COMPLETE THE LINE WAS PUT BACK IN SERVICE"
10/10/2023	2023	20230085	38761	SUPPLEMENTAL FINAL	39950	"3 BEAR DELAWARE OPERATING-NM, LLC"	12700 PARK CENTRAL DRIVE SUITE 700 	DALLAS	TX	75251	9/12/2023 9:00	MOUNTAIN	YES	32.415006	-103.703956	CRUDE OIL			5		5	NO						0	NO						0	NOTIFICATION FROM PUBLIC			9/12/2023 9:00	ONSHORE	NO			9/12/2023 9:41		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	NM	HOBBS	LEA	YES	TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY	NO																					OTHER			AIR ELIMINATOR		MATERIAL OTHER THAN CARBON STEEL	STAINLESS STEEL		REPORTING-REGULATED GATHERING	NO				YES	NO	NO						NO									35000	0	80	500	0	0		35580	0	0	0	0	EQUIPMENT FAILURE	OTHER EQUIPMENT FAILURE	NATHANAEL FOLDS	REGULATORY COMPLIANCE COORDINATOR	nathanael.folds@deleklogistics.com	3256685887		ALONSO RODRIGUEZ	alonso.rodriguez@deleklogistics.com	8063363650	"THE OPERATION CONTROL CENTER (OCC) WAS NOTIFIED OF A RELEASE AT THE CHEDDAR LACT SITE. THE OPERATOR ARRIVED ON-SITE AND OBSERVED A RELEASE OF APPROXIMATELY 5 BARRELS OF CRUDE OIL. A 1/2-INCH STAINLESS STEEL TUBING VENT FROM THE AIR ELIMINATOR ON THE LACT UNIT WAS CONNECTED TO A PROVING CONTAINMENT BOX. THE BALL CHECK ON THE AIR ELIMINATOR WAS STUCK IN THE OPEN POSITION, CAUSING CRUDE OIL TO ENTER THE PROVING CONTAINMENT BOX AND OVERFILL IT. THE OPERATOR REMOVED THE AIR ELIMINATOR AND CLEANED DEBRIS THAT CONTRIBUTED TO THE BALL CHECK BEING IN THE OPEN POSITION. THE TUBING VENT WAS REROUTED TO THE DIVERT LINE. THERE WERE NO INJURIES, AND THE SITE WAS CLEANED UP AND REPAIRED PROMPTLY."
9/22/2023	2023	20230082	38713	SUPPLEMENTAL FINAL	26049	"COUNTRYMARK REFINING AND LOGISTICS, LLC"	"225 S.E. ST. , SUITE 44 "	INDIANAPOLIS	IN	46202	9/8/2023 10:00	CENTRAL	YES	37.935903	-87.942186	CRUDE OIL			1.5		1.5	NO						0	NO						0	NOTIFICATION FROM PUBLIC			9/9/2023 10:30	ONSHORE	NO			9/9/2023 11:15		NRC NOTIFICATION NOT REQUIRED		NO						YES	NO			0	IN	MOUNT VERNON	POSEY	NO	PIPELINE RIGHT-OF-WAY	YES							YES	UNCASED	"NOT NAMED, VERY SMALL USUALLY DRY DITCH"	UNKNOWN	SHORELINE/BANK/MARSH CROSSING	NONE									PIPE	PIPE BODY			4.5	CARBON STEEL		5.5	REPORTING-REGULATED GATHERING	NO				NO	NO	NO						NO									900	84	1000	3600	1100	0		6684	0	0	0	0	CORROSION FAILURE	INTERNAL CORROSION	BLAIR CURRIE	MANAGER OF PIPELINE INTEGRITY	blair.currie@countrymark.com	8128388555					"ON 9/9/2023 @ 10:30 AM THE PIPELINE MAINTENANCE MANAGER RECEIVED A PHONE CALL FROM A LAND OWNER REPORTING SOME OIL IN A DITCH NEAR OUR INMAN 4 INCH GATHERING PIPELINE OFF UPTON ROAD WEST OF MT. VERNON, INDIANA. THE MAINTENANCE MANAGER THEN CALLED THE LAND AND R.O.W. SUPERVISOR REQUESTING A R.O.W TECH TO EXAMINE THE SITUATION, THE REGULATORY COMPLIANCE MANAGER WAS ALSO NOTIFIED. THE  R.O.W. TECH  ARRIVED ON SITE AT 11:15 AND LOCATED THE SOURCE OF THE OIL. THE MT. VERNON MAINTENANCE SUPERVISOR WAS DISPATCHED ALONG WITH SEVERAL CREW MEMBERS TO THE LOCATION. UPON ARRIVING THEY INSTALLED A BAND CLAMP AND BEGAN CLEANUP. IT WAS ESTIMATED THAT A BARREL OF OIL HAD MIGRATED APPROXIMATELY 100 FEET FROM THE LEAK SITE ON THE NORTH SIDE OF UPTON ROAD TO THE SOUTH SIDE OF UPTON ROAD IN A SMALL DITCH.  WITH NO WATER IN THE DITCH AND A HARD CLAY BOTTOM THE OIL HAD PUDDLED A FEW GALLONS IN THREE DIFFERENT PLACES. OIL WAS VACUUMED UP AND ABSORBENT PADS INSTALLED WITH TWO ABSORBENT BOOMS PLACED DOWNSTREAM OF THE AFFECTED AREA. THE DITCH WILL BE MONITORED AND ANY NEEDED CLEANUP WILL BE PERFORMED.  THE ESTIMATED TIME THAT THE ACCIDENT REACHED REPORTING STATUS WAS ON THE MORNING OF 9-8-2023. THIS WAS THE DATE THAT THE PIPELINE WAS LAST RUN FOR AN OIL LEASE."
9/8/2023	2023	20230077	39024	SUPPLEMENTAL FINAL	32619	"HILAND CRUDE, LLC"	"1001 LOUISIANA ST, SUITE 1000 "	HOUSTON	TX	77002	9/5/2023 15:54	CENTRAL	YES	48.0973121	-104.3409143	CRUDE OIL			0.21		0.21	NO						0	NO						0	"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS"		OPERATOR EMPLOYEE	9/5/2023 15:00	ONSHORE	NO			9/5/2023 15:00		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	MT	BAINVILLE	ROOSEVELT	NO	TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY	NO																					OTHER			PUMP DISCHARGE SWAGE FITTING THREADS		MATERIAL OTHER THAN CARBON STEEL	FITTING		REPORTING-REGULATED GATHERING	NO				NO	NO	NO						NO									0	42	1000	0	0	100	ESTIMATED OTHER COSTS ACCOUNTS FOR LABOR COST FOR CLEANUP BY COMPANY EMPLOYEE.	1142	0	0	0	0	EQUIPMENT FAILURE	THREADED CONNECTION/COUPLING FAILURE	SCOTT LEWIS	SPECIALIST-PIPELINE TECHNICAL	scott_lewis@kindermorgan.com	7246626436	7246626484	DARYN WINHOFER	daryn_winhofer@kindermorgan.com	4069732939	"ON 09/05/2023, A HILAND CRUDE EMPLOYEE ARRIVED ON-SITE AT DORIS WEST CTB WELL SITE.  THE EMPLOYEE OBSERVED CRUDE OIL LEAKING FROM THE DISCHARGE SWAGE ON A 20-HORSEPOWER PUMP INSIDE OF CONTAINMENT.  THE PUMP WAS IMMEDIATELY SHUT DOWN AND THE CRUDE OIL RELEASE OF APPROXIMATELY 8.7 GALLONS (0.21 BARREL) WAS CLEANED UP.      OPERATIONS MANAGEMENT INITIATED THE EMERGENCY RESPONSE LINE (ERL) AT 16:00-HOURS (CENTRAL TIME) AT WHICH TIME THE CRUDE OIL RELEASE WAS CONFIRMED TO REQUIRE AN ACCIDENT REPORT.      THE INTERNAL INVESTIGATION DETERMINED THE DISCHARGE PIPE FITTING AT THE PUMP HAD FAILED CAUSING THE RELEASE OF CRUDE OIL.  THE DISCHARGE FITTING HAS BEEN REPLACED AND THE PUMP RETURNED TO SERVICE."
9/28/2023	2023	20230084	38601	ORIGINAL FINAL	39147	"ENABLE GAS GATHERING, LLC"	1300 MAIN STREET 	HOUSTON	TX	77002	8/31/2023 8:15	CENTRAL	YES	34.644295	-97.612383	CRUDE OIL			45		45	NO						0	NO						0	"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS"		OPERATOR EMPLOYEE	8/31/2023 7:33	ONSHORE	YES	OPERATOR	8/31/2023 9:36	8/31/2023 7:33		NRC NOTIFICATION NOT REQUIRED		NO						YES	NO			0	OK	DOYLE	STEPHENS	NO	TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY	NO																					OTHER			PUMP PLUNGER SEAL		MATERIAL OTHER THAN CARBON STEEL	RUBBER		REPORTING-REGULATED GATHERING	NO				YES	NO	YES			YES			NO									0	0	1000	25000	15000	7000	BRINGING SOIL AND GRAVEL BACK ON SITE.	48000	0	0	0	0	EQUIPMENT FAILURE	PUMP OR PUMP-RELATED EQUIPMENT	TODD NARDOZZI	DIRECTOR - DOT COMPLIANCE	todd.nardozzi@energytransfer.com	713-989-7126					"ON 8/31/23 AT APPROXIMATELY 07:33, A COMPANY TECHNICIAN WAS MAKING ROUTINE STATION CHECK AT THE VANARKEL SITE.  UPON ARRIVAL AT HE ACTIVATED THE SITE ESD AFTER DISCOVERING A LEAK FROM THE PUMP. THE PUMP WAS SHUT DOWN AND THE STATION ISOLATED FROM THE MAIN LINE WHILE OPERATIONS DETERMINED THE LEAK WAS COMING FROM PUMP PLUNGER SEAL.     APPROXIMATELY 45 BARRELS OF CRUDE OIL WAS RELEASED TO GRAVEL AND SOIL. ALL RELEASED PRODUCT WAS CLEANED UP.    AN INVESTIGATION DETERMINED THE LEAK WAS CAUSED BY THE PLUNGER SEAL FAILING. TO PREVENT RECURRENCE THE PUMP MANUFACTURER WAS CONSULTED AND IT WAS DETERMINED THAT ADDING A SET SCREW TO PLUNGER SEAL FITTING ON THE THE PUMP UNIT WOULD PREVENT THE PLUNGER SEAL FROM BACKING OUT AND FAILING AGAIN."
9/25/2023	2023	20230083	38703	SUPPLEMENTAL FINAL	31888	CENTURION PIPELINE L.P.	1300 MAIN STREET 	HOUSTON	TX	77002	8/29/2023 15:21	MOUNTAIN	YES	33.391013	-103.545495	CRUDE OIL			0.5		0.5	NO						0	NO						0	OTHER	THIRD PARTY OPERATOR		8/29/2023 15:21	ONSHORE	NO			8/29/2023 16:30		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	NM	NOT WITHIN A MUNICIPALITY NEAR TATUM	LEA	NO	PIPELINE RIGHT-OF-WAY	NO																					PIPE	PIPE BODY			4.5	CARBON STEEL		0.01	REPORTING-REGULATED GATHERING	NO				YES	NO	YES			YES			NO									0	25	3000	200	2400	0		5625	0	0	0	0	CORROSION FAILURE	INTERNAL CORROSION	YVAN TY	SENIOR DOT COMPLIANCE SPECIALIST	yvan.ty@energytransfer.com	713-989-7895					"ON AUGUST 29, 2023, A THIRD PARTY OPERATOR INFORMED CENTURION PIPELINE, L.P. (CPL) OF A LEAK AT 3:21 PM. A CPL EMPLOYEE ARRIVED ON-SITE AT 4:30 PM AND CONFIRMED THE LEAK WAS ON CPL'S 'FRENCH LT11' 4'' PIPELINE LOCATED NEAR TATUM, IN LEA COUNTY, NEW MEXICO AT 5:15 PM. HALF A BARREL OF CRUDE OIL WAS RELEASED DURING THE PROCESS.     NO INJURIES, FATALITIES OR FIRES WERE ASSOCIATED WITH THIS INCIDENT. REPAIRS ARE COMPLETED.    CPL'S INVESTIGATION IS STILL PENDING AND A SUPPLEMENTAL REPORT WILL FOLLOW UPON COMPLETION OF THE INVESTIGATION. THE SUPPLEMENTAL REPORT WILL INCLUDE THE ROOT CAUSE OF THE ACCIDENT, UPDATES TO COST, IF APPLICABLE, AND ASSOCIATED P&M MEASURES.    SUPPLEMENTAL REPORT FILED ON OCTOBER 17, 2023:  IT WAS DETERMINED DURING THE INVESTIGATION THAT A THIRD PARTY, LOCAL FARMER, HAD STRUCK THE PIPELINE AND CAUSE THE LINE. THE LOCAL FARMER WAS NOT REQUIRED TO PERFORM A ONE-CALL AND HAD NOT DONE SO IN THIS INSTANCE. REMEDIATION IS COMPLETE AND NO FURTHER ACTIONS ARE REQUIRED AT THIS TIME.    SUPPLEMENTAL REPORT FILED ON OCTOBER 26, 2023:  CORRECTION OF PREVIOUS ACCIDENT REPORT DUE TO CLERICAL ERROR. THE ROOT CAUSE ANALYSIS DETERMINED THAT INTERNAL CORROSION RESULTED IN THROUGH-WALL PIT AT THE FOUR (4) O'CLOCK POSITION DUE TO STAGNANT CONDITIONS. NO FURTHER ACTIONS ARE REQUIRED."
9/19/2023	2023	20230080	38563	ORIGINAL FINAL	30829	ENTERPRISE CRUDE PIPELINE LLC	1100 LOUISIANA STREET 	HOUSTON	TX	77002	8/25/2023 11:05	CENTRAL	YES	31.74613	-101.934	CRUDE OIL			1		1	NO						0	NO						0	"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS"		OPERATOR EMPLOYEE	8/25/2023 11:05	ONSHORE	NO			8/25/2023 11:05		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	TX	N/A	MIDLAND	NO	TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY	NO																					PIPE	PIPE BODY			1	CARBON STEEL		0.27	REPORTING-REGULATED GATHERING	NO				NO	NO	NO						NO									0	0	6500	5300	0	0		11800	0	0	0	0	MATERIAL FAILURE OF PIPE OR WELD	"DESIGN-, CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED"	YAROSLAV BIL	PIPELINE COMPLIANCE ENGINEER	ybil@eprod.com	713-381-5650		YAROSLAV BIL	ybil@eprod.com	713-381-5650	"ON 8/25/2023 AT 11:05 AM CDT, WHILE MAKING STATION ROUNDS, ENTERPRISE PIPELINE TECHNICIAN LOCATED CRUDE OIL RELEASE COMING FROM A CRACKED SOC-O-LET WELD ON 1 INCH RELIEF PIPE AT CHEVRON CMC 17 STATION; 1 BARREL OF CRUDE OIL REACHED THE GROUND. THE AREA WAS REMEDIATED AND AFFECTED PIPE SPOOL WAS ISOLATED, REMOVED, REPAIRED, AND RETURNED BACK TO SERVICE."
9/19/2023	2023	20230081	38603	SUPPLEMENTAL FINAL	39684	ROCKY MOUNTAIN MIDSTREAM PIPELINE LLC	ONE WILLIAMS CENTER 43-4	TULSA	OK	74172	8/20/2023 11:30	MOUNTAIN	YES	39.973072	-104.967816	CRUDE OIL			0.13		0.13	NO						0	NO						0	"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)"			8/20/2023 11:30	ONSHORE	NO			8/20/2023 12:15		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	CO	N/A	ADAMS	NO	TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY	NO																					OTHER			PUMP		CARBON STEEL		8.68	REPORTING-REGULATED GATHERING	NO				NO	NO	NO						NO									0	15	17000	150	50	0		17215	0	0	0	0	EQUIPMENT FAILURE	PUMP OR PUMP-RELATED EQUIPMENT	LYNDON HOEL	PIPELINE SAFETY ENGINEER SR	lyndon.hoel@williams.com	9182404259		JOSH BRUCE	josh.bruce@williams.com	9707766851	CONTROL CENTER CALLED OPERATOR AROUND 11:30 AM ON AUG 20TH FOR A LACT UNIT SHUTDOWN DUE TO HIGH LEL. OPERATOR ARRIVES AT LACT AT APPROXIMATELY 12:15 AND OBSERVED OIL ON THE FLOOR INSIDE THE LACT UNIT. HE NOTIFIED SUPERVISOR AND LEAD AT 12:40 AND STARTED TO CLEAN UP OIL ON THE FLOOR OF THE LACT WITH ABSORBENT PADS. HE SQUEEGEED THE OIL INTO THE SUMP. NO SOIL WAS IMPACTED BY OIL. THIS WAS ALL CONTAINED INSIDE THE BUILDING OF THE LACT. THE CAUSE OF THE LEAK WAS DUE TO PUMP BODY SEPARATION DUE TO SHEARED BOLTS. AUG 21ST AT 11:30 NEW PUMP WAS INSTALLED AND PUT INTO SERVICE.
