REPORT_NUMBER,INTERNAL_EXTERNAL,VISUAL_EXAM_RESULTS,GALVANIC_CORROSION_IND,ATMOSPHERE_CORROSION_IND,STRAY_CURRENT_CORROSION_IND,MICROBIOLOGICAL_CORROSION_IND,SELECTIVE_SEAM_CORROSION_IND,OTHER_CORROSION_IND,CORROSION_TYPE_DETAILS,UNDERGROUND_LOCATION,UNDER_CATHODIC_PROTECTION_IND,CATHODIC_SURVEY_TYPE,CP_ANNUAL_SURVEY_IND,CLOSE_INTERVAL_SURVEY_IND,EXTERNALLY_COATED,PRIOR_DAMAGE,CORROSION_LOCATION_DETAILS,CORROSION_INHIBITORS,CORROSION_LINING,CORROSION_COUPONS,EARTH_SUBTYPE,HEAVY_RAINS_SUBTYPE,LIGHTNING_SUBTYPE,TEMPERATURE_SUBTYPE,ROOT_CAUSE_CATEGORY,ROOT_CAUSE_TYPE,OUTSIDE_FORCE_TYPE,OPERATION_TYPE,CATEGORY_TYPE,OPERATOR_QUALIFICATION_IND
20220105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230015,INTERNAL CORROSION,,,,,,,,,,,,,,,,,NO,NO,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20230021,,,,,,,,,,,,,,,,,,,,,,,,FROZEN COMPONENTS,,,,,,
20230020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230019,INTERNAL CORROSION,,,,,,,,,,,,,,,,,YES,NO,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20230018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230013,,,,,,,,,,,,,,,,,,,,,,,,FROZEN COMPONENTS,,,,,,
20230017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230007,EXTERNAL CORROSION,OTHER,,,,,YES,,,YES,YES,YES,YES,,,YES,,,,,,,,,,,,,,
20230009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230010,INTERNAL CORROSION,,,,,,,,,,,,,,,,,NO,NO,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20230008,EXTERNAL CORROSION,LOCALIZED PITTING,YES,,,,,,,YES,YES,YES,YES,,,NO,,,,,,,,,,,,,,
20230005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230003,INTERNAL CORROSION,,,,,,,,,,,,,,,,,NO,NO,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20230006,,,,,,,,,,,,,,,,,,,,,,,,,,,"DAMAGE BY CAR, TRUCK, OR OTHER MOTORIZED VEHICLE/EQUIPMENT NOT ENGAGED IN EXCAVATION",,,
20230004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220284,INTERNAL CORROSION,,,,,,,,,,,,,,,,,NO,NO,NO,,,,,,,,,,
20220293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220294,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TANK, VESSEL, OR SUMP/SEPARATOR ALLOWED OR CAUSED TO OVERFILL OR OVERFLOW",ROUTINE MAINTENANCE,NO
20220291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220290,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPELINE OR EQUIPMENT OVERPRESSURED,ROUTINE MAINTENANCE,YES
20220288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220286,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER INCORRECT OPERATION ,OTHER MAINTENANCE,NO
20220280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220282,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQUIPMENT NOT INSTALLED PROPERLY,OTHER MAINTENANCE,NO
20220281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220264,,,,,,,,,,,,,,,,,,,,,,,,FROZEN COMPONENTS,,,,,,
20220277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220276,INTERNAL CORROSION,,,,,,,,,,,,,,,,,YES,NO,YES,,,,,,,,,,
20220274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220271,INTERNAL CORROSION,,,,,,,,,,,,,,,,,NO,NO,NO,,,,,,,,,,
20220269,INTERNAL CORROSION,,,,,,,,,,,,,,,,,YES,NO,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20220272,INTERNAL CORROSION,,,,,,,,,,,,,,,,9 O'CLOCK,NO,NO,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20220263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220253,INTERNAL CORROSION,,,,,,,,,,,,,,,,,NO,NO,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20220267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220261,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VALVE LEFT OR PLACED IN WRONG POSITION, BUT NOT RESULTING IN A TANK, VESSEL, OR SUMP/SEPARATOR OVERFLOW OR FACILITY OVERPRESSURE",ROUTINE MAINTENANCE,YES
20220259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220252,,,,,,,,,,,,,,,,,,,,,,,,,NOTIFICATION ISSUE,ROOT CAUSE NOT LISTED (COMMENT REQUIRED),,,,
20220260,INTERNAL CORROSION,,,,,,,,,,,,,,,,,YES,NO,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20220256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220257,INTERNAL CORROSION,,,,,,,,,,,,,,,,,NO,NO,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20220258,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VALVE LEFT OR PLACED IN WRONG POSITION, BUT NOT RESULTING IN A TANK, VESSEL, OR SUMP/SEPARATOR OVERFLOW OR FACILITY OVERPRESSURE",NORMAL OPERATING CONDITIONS,YES
20220262,INTERNAL CORROSION,,,,,,,,,,,,,,,,,YES,NO,NO,,,,,,,,,,
20220254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220250,EXTERNAL CORROSION,LOCALIZED PITTING,YES,,,,,,,YES,YES,YES,YES,YES,,N/A Bare/Ineffectively Coated Pipe,,,,,,,,,,,,,,
20220247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220244,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VALVE LEFT OR PLACED IN WRONG POSITION, BUT NOT RESULTING IN A TANK, VESSEL, OR SUMP/SEPARATOR OVERFLOW OR FACILITY OVERPRESSURE",NORMAL OPERATING CONDITIONS,YES
20220245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220238,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VALVE LEFT OR PLACED IN WRONG POSITION, BUT NOT RESULTING IN A TANK, VESSEL, OR SUMP/SEPARATOR OVERFLOW OR FACILITY OVERPRESSURE",NORMAL OPERATING CONDITIONS,YES
20220237,,,,,,,,,,,,,,,,,,,,,,,SECONDARY IMPACT SUCH AS RESULTING NEARBY FIRES,,,,,,,
20220236,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VALVE LEFT OR PLACED IN WRONG POSITION, BUT NOT RESULTING IN A TANK, VESSEL, OR SUMP/SEPARATOR OVERFLOW OR FACILITY OVERPRESSURE",NORMAL OPERATING CONDITIONS,NO
20220233,,,,,,,,,,,,,,,,,,,,,,,,,,,"DAMAGE BY CAR, TRUCK, OR OTHER MOTORIZED VEHICLE/EQUIPMENT NOT ENGAGED IN EXCAVATION",,,
20220232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220234,INTERNAL CORROSION,,,,,,,,,,,,,,,,,NO,NO,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20220231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220229,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VALVE LEFT OR PLACED IN WRONG POSITION, BUT NOT RESULTING IN A TANK, VESSEL, OR SUMP/SEPARATOR OVERFLOW OR FACILITY OVERPRESSURE",NORMAL OPERATING CONDITIONS,YES
20220227,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER OUTSIDE FORCE DAMAGE,,,
20220224,INTERNAL CORROSION,,,,,,,,,,,,,,,,ABOVE THE RIVETED LAP SEAM LOCATED AT THE FOURTH AND FIFTH COURSE SHELL (HOLE IS IN THE 5TH SHELL COURSE OF TANK 17),NO,YES,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20220226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220228,INTERNAL CORROSION,,,,,,,,,,,,,,,,,NO,NO,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20220225,INTERNAL CORROSION,,,,,,,,,,,,,,,,DRAIN PIPING ON BARREL UTILIZED AS PART OF PIGGING MAINTENANCE.,YES,NO,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20220221,INTERNAL CORROSION,,,,,,,,,,,,,,,,,NO,NO,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20220222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220223,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQUIPMENT NOT INSTALLED PROPERLY,CONSTRUCTION,YES
20220219,INTERNAL CORROSION,,,,,,,,,,,,,,,,6 O'CLOCK POSITION,YES,NO,NO,,,,,,,,,,
20220220,INTERNAL CORROSION,,,,,,,,,,,,,,,,,NO,NO,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20220218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220216,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR NOT RELATED TO EXCAVATION AND NOT DUE TO MOTORIZED VEHICLE/EQUIPMENT DAMAGE,ROUTINE MAINTENANCE,NO
20220217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220214,,,,,,,,,,,,,,,,,,,,,,,,,,,,WRONG EQUIPMENT SPECIFIED OR INSTALLED,ROUTINE MAINTENANCE,YES
20220212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220211,INTERNAL CORROSION,,,,,,,,,,,,,,,,,YES,NO,NOT APPLICABLE - NOT MAINLINE PIPE,,,,,,,,,,
20220205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220207,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER INCORRECT OPERATION ,NORMAL OPERATING CONDITIONS,YES
20220208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220206,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TANK, VESSEL, OR SUMP/SEPARATOR ALLOWED OR CAUSED TO OVERFILL OR OVERFLOW",NORMAL OPERATING CONDITIONS,YES
20220203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220215,EXTERNAL CORROSION,LOCALIZED PITTING,,YES,,,,,,YES,YES,YES,YES,,,YES,,,,,,,,,,,,,,
