case_idx,data_sourc,case_lat,case_lon,case_date,COMMODITY_,INTENTIONA,UNINTENTIO,FATAL,INJURE,ON_OFF_SHO,IGNITE_IND,EXPLODE_IN,NUM_PUB_EV,FEDERAL,LOCATION_T,CROSSING,ITEM_INVOL,MATERIAL_I,EST_COST_O,EST_COST_G,EST_COST_P,EST_COST_E,EST_COST_1,EST_COST_2,CAUSE,CAUSE_DETA,NARRATIVE,SYSTEM_PAR,INCIDENT_A,PIPE_FACIL,INSTALLATI,RELEASE_TY,COULD_BE_H,MOP_PSIG,PIPELINE_F,SCADA_IN_P,INVESTIGAT,EMPLOYEE_D,CONTRACTOR,zone,TAVG_x,accident_p,station_id,YYYY-mm_x,YYYY-mm_prev,TAVG_y,YYYY-mm_y,TAVG
46,gravity,32.11963,-103.45723,2022/08/01,CRUDE OIL,,29.0,0,0,ONSHORE,0,,0.0,1.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,MATERIAL OTHER THAN CARBON STEEL,2110.0,883.0,300.0,0.0,119890.0,0.0,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,"ON 7/27/22 6:50 AM MT. UPON START-UP OF MULTIPLE CTBS, THE CONTROL ROOM RECEIVED A LEAK ALARM AT CTB130 (32 LATERAL). AFTER INVESTIGATING, THE  CONTROL ROOM SHUT DOWN THE LINE AT 7:10 AND REQUESTED THE FIELD OPERATOR TO VERIFY A POTENTIAL RELEASE. AT 7:1",,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00003047,2022-08,2022-07,28.18,2022-07,31.06
56,gravity,31.31169,-101.89148,2022/07/02,CRUDE OIL,,20.0,0,0,ONSHORE,0,,0.0,0.0,"ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY",0.0,OTHER,MATERIAL OTHER THAN CARBON STEEL,0.0,2000.0,100.0,160000.0,0.0,0.0,INCORRECT OPERATION,OTHER INCORRECT OPERATION,"UPDATE AUGUST 29, 2022, REMEDIATION OF THE AFFECTED SOIL HAS BEEN COMPLETED.    UPDATE PART D, ESTIMATED COST OF OPERATOR'S EMERGENCY RESPONSE TO REFLECT THE COMPLETED COST OF $160.000, THE $120,000 THAT WAS ORIGINALLY PLACED IN THE ESTIMATED COST OF THE",,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00023023,2022-07,2022-06,30.65,2022-06,28.53
59,gravity,32.14591,-101.69182,2022/06/30,CRUDE OIL,,4.320000000000001,0,0,ONSHORE,0,,0.0,0.0,PIPELINE RIGHT-OF-WAY,0.0,PIPE,CARBON STEEL,0.0,145.0,7000.0,6000.0,0.0,0.0,CORROSION FAILURE,INTERNAL CORROSION,NUSTAR OPERATIONS PERSONNEL DISCOVERED A CRUDE OIL LEAK AT ITS 104P SME DUKE GATHERING FACILITY DURING A ROUTINE INSPECTION.  THE LEAK ORIGINATED ON A SIX-INCH BELOW-GRADE SEGMENT BETWEEN THE PUMP AND THE LAUNCHER TRAP.  THE PUMP AT THE SITE WAS SHUT DOW,,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00023023,2022-06,2022-05,28.53,2022-05,26.52
61,gravity,32.517159,-101.585483,2022/06/17,CRUDE OIL,,2.0,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,MATERIAL OTHER THAN CARBON STEEL,0.0,0.0,20000.0,0.0,0.0,0.0,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,"LACT UNIT AIR ELIMINATOR FAILED RELEASING 2 BBLS CRUDE OIL DUE TO VIBRATION TO THE NIPPLE CAUSING THE NIPPLE TO BREAK OFF AT THE BOTTOM OF THE AIR ELIMINATOR.  OPERATOR NOTIFIED, UNIT SHUTDOWN AND PROMPTLY CLEANED UP. UNIT RETURNED TO SERVICE.",,,,,,,,,,,,,Hot-Dry,,,GHCND:USC00418818,2022-06,2022-05,27.37,2022-05,23.54
64,gravity,32.531714,-101.535804,2022/06/09,CRUDE OIL,,10.0,0,0,ONSHORE,0,,0.0,0.0,PIPELINE RIGHT-OF-WAY,0.0,OTHER,MATERIAL OTHER THAN CARBON STEEL,0.0,1200.0,2020.0,0.0,26000.0,0.0,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,"TARGA WAS NOTIFIED OF POSSIBLE CRUDE OIL LEAK AT 1:30 PM BY OIL WELL OPERATOR, TARGA INSTRUCTED THEM TO SHUT BLOCK VALVES ON EACH SIDE OF METER TO ELIMINATE LEAK. TARGA EMPLOYEE ARRIVED ON SITE AND VERIFIED LEAK COMING FROM CHARGE PUMP AT 1:50 PM AND BEG",,,,,,,,,,,,,Hot-Dry,,,GHCND:USC00417206,2022-06,2022-05,28.34,2022-05,24.8
66,gravity,32.39095,-101.64786,2022/06/06,CRUDE OIL,,8.58,0,0,ONSHORE,0,,0.0,0.0,"ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY",0.0,OTHER,MATERIAL OTHER THAN CARBON STEEL,0.0,246.0,13.0,5000.0,0.0,2000.0,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,A THIRD-PARTY PUMPER NOTIFIED NUSTAR'S CONTROL ROOM OF A CRUDE OIL LEAK AT ITS DB COBRA SOUTH GATHERING SITE.  THE PUMP AT THE SITE WAS IMMEDIATELY SHUT DOWN AND OPERATIONS PERSONNEL WERE DISPATCHED TO THE SITE.  THE LEAK ORIGINATED AT A 3/4-INCH FLEX HO,,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00023023,2022-06,2022-05,28.53,2022-05,26.52
72,gravity,48.15571,-103.40957,2022/05/29,CRUDE OIL,,0.8,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,MATERIAL OTHER THAN CARBON STEEL,0.0,70.0,140.0,500.0,9950.0,0.0,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,"DIV. 15 HILAND CRUDE: SPILL/RELEASE ON THE SLAWSON MATILDA BAY 2-15MLH PRODUCER LEASE LOCATION.  31 GALLONS OF CRUDE OIL RELEASED INSIDE EARTHEN, STEEL-RINGED, CONTAINMENT AT THE MATILDA BAY 2-15MLH LEASE LOCATION DUE TO FAILED CUPS ON A KM 20 HP. PUMP.",,,,,,,,,,,,,Very Cold,,,GHCND:USC00324571,2022-05,2022-04,12.02,2022-04,1.24
80,gravity,43.61727,-105.75888,2022/05/10,CRUDE OIL,,0.23,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,CARBON STEEL,0.0,26.0,1602.0,1810.0,0.0,0.0,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,"ON MAY 10, 2022 AT APPROXIMATELY 10:00 AM MDT, A CONTRACTOR EMPLOYEE CONTACTED A COMPANY FIELD SUPERVISOR TO REPORT THERE WAS OIL ON THE GROUND AT THE TITUS LOCATION.  THE FIELD SUPERVISOR SUBSEQUENTLY CONTACTED COMPANY FIELD EMPLOYEES IN THE AREA AND DI",,,,,,,,,,,,,Cold,,,GHCND:USC00483855,2022-05,2022-04,10.83,2022-04,4.16
83,gravity,31.902161,-102.307556,2022/05/03,CRUDE OIL,,0.14,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,PIPE,CARBON STEEL,0.0,14.0,5000.0,1400.0,0.0,0.0,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,"ON 5/3/2022 AT 6:15 AM CST, DURING STATION ROUNDS, ENTERPRISE TECHNICIAN DISCOVERED A CRUDE LEAK AT ENDEAVOR HILL #2 METER STATION. THE FAILURE RESULTED IN A CRUDE SPILL OF 0.14 BARREL, REMEDIATION IS COMPLETE. AFTER INVESTIGATION, IT WAS DETERMINED THAT",,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00023023,2022-05,2022-04,26.52,2022-04,20.54
84,gravity,48.576389,-102.946389,2022/05/02,CRUDE OIL,,2400.0,0,0,ONSHORE,0,,0.0,0.0,"ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY",0.0,PIPE,CARBON STEEL,0.0,258192.0,95390.0,103576.0,4431425.0,0.0,CORROSION FAILURE,EXTERNAL CORROSION,"ON MAY 2, 2022 AT 6:41AM, HILAND CRUDE, LLC (HILAND) WAS NOTIFIED BY AN EMPLOYEE OF CONTINENTAL RESOURCES WHO WAS WORKING AT THE JEROL MCGREGOR 2-3 LEASE PAD IN MCGREGOR, NORTH DAKOTA THAT THERE WAS A CRUDE SPILL ON THE HILAND RIGHT OF WAY. HILAND EMPLOY",,,,,,,,,,,,,Very Cold,,,GHCND:USR0000NLOS,2022-05,2022-04,10.97,2022-04,-0.5
85,gravity,48.09945,-104.34006,2022/05/02,CRUDE OIL,,0.38,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,MATERIAL OTHER THAN CARBON STEEL,0.0,41.0,0.0,0.0,2500.0,0.0,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,"ON MAY 2, 2022 AT 4:30 AM, A CONTRACTOR AT THE DORIS WEST WELL PAD DISCOVERED A LEAK ON THE DRA SKID. THE CONTRACTOR NOTIFIED HILAND CRUDE, LLC PERSONNEL WHO ARRIVED ON SITE AT 5:30AM. TO STOP THE LEAK, THE CONTRACTOR ISOLATED THE DRA PUMPS. IT WAS DETER",,,,,,,,,,,,,Cold,,,GHCND:USC00245572,2022-05,2022-04,11.54,2022-04,1.17
86,gravity,32.431362,-101.57794,2022/04/29,CRUDE OIL,,25.0,0,0,ONSHORE,0,,0.0,0.0,PIPELINE RIGHT-OF-WAY,0.0,OTHER,CARBON STEEL,0.0,2800.0,5.0,1000.0,2500.0,0.0,CORROSION FAILURE,INTERNAL CORROSION,"AROUND 1:30 AM TARGA WAS NOTIFIED BY SURGE OPERATING EMPLOYEE OF A POTENTIAL OIL LEAK COMING FROM OUR ABOVE GROUND EQUIPMENT. TARGA EMPLOYEE ARRIVED ON SITE AND VERIFIED LEAK WAS COMING FROM A CORRODED 1"" THREADED PLUG ON THE BOTTOM OF A BASKET FILTER. T",,,,,,,,,,,,,Hot-Dry,,,GHCND:USC00418818,2022-04,2022-03,17.73,2022-03,11.06
92,gravity,32.187283,-101.66836,2022/04/07,CRUDE OIL,,4.0,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,CARBON STEEL,0.0,0.0,11240.0,0.0,500.0,0.0,EQUIPMENT FAILURE,DEFECTIVE OR LOOSE TUBING OR FITTING,"OIL WAS DETECTED LEAKING FROM DELEK NON-REGULATED GATHERING CHEVRON VIOLET EAST LACT STATION AT 7:48 AM ON APRIL 7, BY A 3RD PARTY PUMPER. PUMPER CONTACTED DELEK PIPELINE OPERATOR, WHO CONTACTED THE CONTROL CENTER. PUMP STATION WAS SHUTDOWN AT 8:13 AM. T",,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00023023,2022-04,2022-03,20.54,2022-03,12.39
95,gravity,28.054,-99.660951,2022/03/16,CRUDE OIL,,1.0,0,0,ONSHORE,0,,0.0,0.0,PIPELINE RIGHT-OF-WAY,0.0,PIPE,CARBON STEEL,5000.0,0.0,25000.0,0.0,25000.0,0.0,CORROSION FAILURE,INTERNAL CORROSION,"ON MARCH 16, 2022, AT APPROXIMATELY 6:00 PM, ENERGY TRANSFER OPERATION PERSONNEL IDENTIFIED A LEAK IN THE PIPELINE RIGHT-OF-WAY ON THE G6 TO BOLDT 6IN CONDENSATE MAINLINE. THIS PIPELINE IS A NON-JURISDICTIONAL LIQUID GATHERING PIPELINE IN A RURAL AREA LO",,,,,,,,,,,,,Hot-Humid,,,GHCND:USC00411486,2022-03,2022-02,16.17,2022-02,10.72
96,gravity,48.227,-103.3747,2022/03/16,CRUDE OIL,,1.9,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,CARBON STEEL,0.0,0.0,1578.0,0.0,35280.0,0.0,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,"LOCAL OPERATION PERSONNEL DISCOVERED APPROXIMATELY 1.9 BARRELS OF CRUDE OIL INSIDE LINED CONTAINMENT AREA.  INVESTIGATION REVEALED THE PUMP'S 6"" BALON ANSI 150 SUCTION VALVE BODY GASKET FAILED CAUSING A DRIZZLE LEAK OF CRUDE OIL.  CONTRACTOR WAS MOBILIZE",,,,,,,,,,,,,Very Cold,,,GHCND:USC00324571,2022-03,2022-02,-0.79,2022-02,-9.81
107,gravity,32.187283,-101.66836,2022/02/13,CRUDE OIL,,4.0,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,MATERIAL OTHER THAN CARBON STEEL,0.0,360.0,5000.0,5000.0,0.0,0.0,EQUIPMENT FAILURE,DEFECTIVE OR LOOSE TUBING OR FITTING,TUBING ON A PUMP FAILED RESULTING IN A LOSS OF APPROXIMATELY 4 BBLS. THE FAILURE WAS IDENTIFIED BY LOCAL OPERATING PERSONNEL. THE CONTROL CENTER WAS IMMEDIATELY CONTACTED THE UNIT SHUTDOWN. THE RELEASED CRUDE OIL WAS CONFINED TO OPERATOR PROPERTY AND CLE,,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00023023,2022-02,2022-01,5.76,2022-01,5.99
109,gravity,32.187283,-101.66836,2022/02/02,CRUDE OIL,,3.0,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,MATERIAL OTHER THAN CARBON STEEL,0.0,270.0,5000.0,5000.0,0.0,0.0,EQUIPMENT FAILURE,DEFECTIVE OR LOOSE TUBING OR FITTING,TUBING ON A PUMP FAILED RESULTING IN A LOSS OF APPROXIMATELY 3 BBLS. THE FAILURE WAS IDENTIFIED BY LOCAL OPERATING PERSONNEL. THE CONTROL CENTER WAS IMMEDIATELY CONTACTED AND THE UNIT SHUTDOWN. THE RELEASED CRUDE OIL WAS CONFINED TO OPERATOR PROPERTY AND,,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00023023,2022-02,2022-01,5.76,2022-01,5.99
110,gravity,32.227889,-103.442389,2022/01/28,CRUDE OIL,,0.5,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,MATERIAL OTHER THAN CARBON STEEL,0.0,40.0,0.0,0.0,4400.0,0.0,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,"AT 2:31 AM ON 01/28/2022 SCM OPERATIONS, LLC'S 3RD PARTY CONTROL ROOM (MIDSTREAM INTEGRITY SERVICES) RECEIVED A HIGH SUMP BOX ALARM FOR THE MANDELBAUM LACT. MIS IMMEDIATELY IMPLEMENTED SCM CALLOUT PROTOCOL AND SUCCESSFULLY REPORTED THE ALARM TO SCM CRUDE",,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00093033,2022-01,2021-12,5.2,2021-12,12.11
111,gravity,32.127376,-101.856511,2022/01/23,CRUDE OIL,,1.5,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,MATERIAL OTHER THAN CARBON STEEL,0.0,120.0,3000.0,2000.0,0.0,0.0,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,A PUMP SEAL ON A LACT UNIT FAILED DUE TO PUMP CAVITATION AND RESULTING IN A LOSS OF APPROXIMATELY 1.5 BBLS.  THE FAILURE WAS IDENTIFIED BY LOCAL OPERATING PERSONNEL.  THE CONTROL CENTER WAS IMMEDIATELY CONTACTED AND THE UNIT SHUT DOWN.  THE RELEASED CRUD,,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00023023,2022-01,2021-12,5.99,2021-12,13.38
116,gravity,28.05361,-99.65969,2022/01/12,CRUDE OIL,,3.0,0,0,ONSHORE,0,,0.0,0.0,PIPELINE RIGHT-OF-WAY,0.0,PIPE,CARBON STEEL,5000.0,43.0,25000.0,0.0,25000.0,0.0,CORROSION FAILURE,INTERNAL CORROSION,"ON JANUARY 12, 2022, AT APPROXIMATELY 1:00 PM, ENERGY TRANSFER OPERATIONS PERSONNEL IDENTIFIED A LEAK IN THE PIPELINE RIGHT-OF-WAY ON THE G9CDP 6-INCH CONDENSATE PIPELINE. THIS PIPELINE IS A NON-JURISDICTIONAL LIQUID GATHERING PIPELINE IN A RURAL AREA LO",,,,,,,,,,,,,Hot-Humid,,,GHCND:USC00411486,2022-01,2021-12,9.82,2021-12,16.86
118,gravity,31.944723,-102.003062,2022/01/04,CRUDE OIL,,0.24,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,CARBON STEEL,0.0,18.0,500.0,300.0,0.0,0.0,INCORRECT OPERATION,OTHER INCORRECT OPERATION,"ON JANUARY 4, 2022, A CENTURION PIPELINE L.P. (CPL) EMPLOYEE DISCOVERED A LEAK IN CPL'S ENDEAVOR EARLY INJECTION FACILITY LOCATED NEAR MIDLAND IN MIDLAND COUNTY, TEXAS. THE CPL EMPLOYEE DETERMINED THE LEAK WAS ON THE 2'' DRAIN VALVE. TEN (10) GALLONS OF",,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00023023,2022-01,2021-12,5.99,2021-12,13.38
119,gravity,32.2431,-101.911,2021/12/27,CRUDE OIL,,55.0,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,MATERIAL OTHER THAN CARBON STEEL,0.0,4156.0,5000.0,18500.0,12500.0,0.0,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,"ON DECEMBER 27, 2021 AT APPROXIMATELY 13:30, A CRUDE OIL LEAK OCCURRED AT THE SALE RANCH STATION, A NON-REGULATED  GATHERING PUMP STATION LOCATED ON FM 829, APPROXIMATELY 10 MILES NORTHWEST OF STANTON, TX.    OUR CONTROL CENTER RECEIVED A CALL FROM A PAS",,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00023023,2021-12,2021-11,13.38,2021-11,13.05
