station_idx,station_id,station_name,station_lat,station_lon,station_el,elevationUnit,mindate,maxdate,datacoverage
231,GHCND:USW00053843,"ANDALUSIA OPP AIRPORT, AL US",31.30614,-86.39018,97.5,METERS,2006-09-01,2024-03-12,1.0
232,GHCND:USW00053852,"DECATUR PRYOR FIELD, AL US",34.65798,-86.94343,179.1,METERS,1996-11-01,2024-03-13,1.0
234,GHCND:USW00053864,"ALABASTER SHELBY CO AIRPORT ASOS, AL US",33.17835,-86.78178,172.5,METERS,1995-04-01,2024-03-14,1.0
235,GHCND:USW00063857,"GADSDEN 19 N, AL US",34.2851,-85.9621,351.1,METERS,2005-04-01,2024-03-13,1.0
236,GHCND:USW00063858,"SELMA 13 WNW, AL US",32.4567,-87.2422,58.8,METERS,2005-05-01,2024-03-13,1.0
237,GHCND:USW00063862,"VALLEY HEAD 1 SSW, AL US",34.5653,-85.6171,310.9,METERS,2006-05-01,2024-03-13,1.0
239,GHCND:USW00063867,"CULLMAN 3 ENE, AL US",34.1954,-86.7963,243.8,METERS,2006-05-01,2024-03-13,1.0
240,GHCND:USW00063868,"COURTLAND 2 WSW, AL US",34.6602,-87.3462,175.3,METERS,2006-05-01,2024-03-13,1.0
241,GHCND:USW00063869,"FAIRHOPE 3 NE, AL US",30.5485,-87.8757,29.0,METERS,2006-07-01,2024-03-12,1.0
243,GHCND:USW00063872,"EUFAULA WEEDON FIELD AIRPORT, AL US",31.95163,-85.13122,86.8,METERS,2006-01-01,2024-03-11,1.0
245,GHCND:USW00063874,"GREENVILLE MAC CRENSHAW MEMORIAL AIRPORT, AL US",31.84675,-86.6141,134.8,METERS,2006-01-01,2024-03-12,0.9392
246,GHCND:USW00063891,"CLANTON 2 NE, AL US",32.8516,-86.6115,178.0,METERS,2007-03-01,2024-03-13,1.0
247,GHCND:USW00063892,"GAINESVILLE 2 NE, AL US",32.8369,-88.1374,32.6,METERS,2007-03-01,2024-03-13,1.0
248,GHCND:USW00063893,"GREENSBORO 2 WNW, AL US",32.7169,-87.6226,85.3,METERS,2007-03-01,2024-03-13,1.0
249,GHCND:USW00063894,"MUSCLE SHOALS 2 N, AL US",34.7728,-87.6399,161.5,METERS,2007-04-01,2024-03-13,1.0
250,GHCND:USW00063895,"RUSSELLVILLE 4 SSE, AL US",34.4535,-87.7104,219.5,METERS,2006-08-01,2024-03-13,1.0
251,GHCND:USW00063896,"SCOTTSBORO 2 NE, AL US",34.6941,-85.9998,193.9,METERS,2006-08-01,2024-03-13,1.0
252,GHCND:USW00063897,"SELMA 6 SSE, AL US",32.3349,-86.9787,47.9,METERS,2007-03-01,2024-03-13,1.0
253,GHCND:USW00063899,"BREWTON 3 NNE, AL US",31.1449,-87.0518,51.8,METERS,2008-01-01,2024-03-13,1.0
254,GHCND:USW00073801,"NORTHPORT 2 S, AL US",33.2125,-87.5914,45.7,METERS,2009-05-01,2024-03-13,0.9997
255,GHCND:USW00073802,"HIGHLAND HOME 2 S, AL US",31.9155,-86.3115,187.1,METERS,2008-12-01,2024-03-13,1.0
256,GHCND:USW00073803,"TALLADEGA 10 NNE, AL US",33.5721,-86.0573,160.0,METERS,2008-12-01,2024-03-13,1.0
257,GHCND:USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",33.21217,-87.61552,45.3,METERS,1948-06-01,2024-03-13,1.0
439,GHCND:USC00500243,"ALYESKA, AK US",60.9583,-149.1108,82.9,METERS,1963-11-01,2024-03-13,1.0
440,GHCND:USC00500247,"AMBER LAKE, AK US",62.1925,-150.5033,136.9,METERS,2001-03-01,2024-03-13,1.0
441,GHCND:USC00500270,"ANAKTUVUK AUTO, AK US",68.16667,-151.76667,640.1,METERS,1953-01-01,2023-07-13,0.183
442,GHCND:USC00500275,"ANCHORAGE FORECAST OFFICE, AK US",61.1561,-149.9847,39.9,METERS,1998-01-01,2024-03-12,1.0
443,GHCND:USC00500281,"ANCHORAGE UPPER DEARMOUN, AK US",61.1025,-149.7169,406.9,METERS,2005-12-01,2024-03-09,1.0
446,GHCND:USC00500363,"ANNEX CREEK, AK US",58.3183,-134.1003,28.0,METERS,1917-01-01,2024-03-12,1.0
447,GHCND:USC00500433,"ATKA AIRPORT, AK US",52.22028,-174.20611,17.1,METERS,1916-10-01,2024-03-12,0.1545
448,GHCND:USC00500490,"AURORA, AK US",64.8552,-147.7216,135.0,METERS,2004-01-01,2024-03-13,1.0
451,GHCND:USC00500707,"BEN S FARM, AK US",61.5632,-149.1542,38.7,METERS,1969-01-01,2024-01-31,1.0
455,GHCND:USC00501220,"CAMPBELL CREEK SCIENCE CENTER, AK US",61.1638,-149.7777,78.6,METERS,2000-05-01,2024-02-23,1.0
456,GHCND:USC00501240,"CANNERY CREEK, AK US",61.0183,-147.5147,25.9,METERS,1979-05-01,2023-12-31,1.0
465,GHCND:USC00501684,"CHICKEN, AK US",64.0917,-141.9211,548.6,METERS,1911-01-01,2024-03-13,1.0
468,GHCND:USC00501987,"CIRCLE HOT SPRINGS, AK US",65.4939,-144.6422,262.1,METERS,1935-01-01,2024-03-13,1.0
471,GHCND:USC00502107,"COLLEGE OBSERVATORY, AK US",64.8603,-147.8484,182.0,METERS,1948-05-01,2024-03-12,1.0
477,GHCND:USC00502179,"CORDOVA WWTP, AK US",60.5358,-145.778,3.0,METERS,2004-05-01,2023-11-26,0.6405
478,GHCND:USC00502227,"CRAIG, AK US",55.4772,-133.1408,13.1,METERS,1936-10-01,2024-03-13,1.0
479,GHCND:USC00502339,"DELTA 6 N, AK US",64.1172,-145.7511,322.8,METERS,1996-01-01,2024-02-03,1.0
481,GHCND:USC00502352,"DELTA JUNCTION 20 SE, AK US",63.9647,-145.105,342.9,METERS,1980-11-01,2024-03-04,1.0
483,GHCND:USC00502568,"DRY CREEK, AK US",63.67459,-144.60409,413.0,METERS,1996-08-01,2024-03-13,1.0
484,GHCND:USC00502587,"DUTCH HARBOR, AK US",53.895,-166.5433,3.0,METERS,1915-05-01,2024-03-13,1.0
485,GHCND:USC00502607,"EAGLE, AK US",64.7856,-141.2036,259.1,METERS,1901-11-01,2024-03-13,0.9287
487,GHCND:USC00502642,"EAGLE RIVER NATURE CENTER, AK US",61.23446,-149.27091,158.5,METERS,1981-07-01,2024-03-07,1.0
488,GHCND:USC00502645,"EAGLE RIVER GAKONA CIRCLE, AK US",61.3193,-149.5435,172.8,METERS,2003-01-01,2024-03-10,1.0
489,GHCND:USC00502656,"EAGLE RIVER 5 SE, AK US",61.2968,-149.4399,151.8,METERS,1989-01-01,2024-02-27,1.0
491,GHCND:USC00502737,"EKLUTNA WTP, AK US",61.4495,-149.323,195.1,METERS,2001-03-01,2024-01-31,1.0
494,GHCND:USC00502871,"ESTER 5 NE, AK US",64.911,-147.9242,192.0,METERS,1997-12-01,2024-03-13,1.0
498,GHCND:USC00503160,"FORT KNOX MINE, AK US",65.0033,-147.3408,494.1,METERS,1997-12-01,2024-03-12,1.0
503,GHCND:USC00503212,"GALENA, AK US",64.7408,-156.8755,46.3,METERS,1996-09-01,2024-02-01,1.0
504,GHCND:USC00503275,"GILMORE CREEK, AK US",64.9766,-147.5211,288.0,METERS,1962-01-01,2024-03-13,1.0
506,GHCND:USC00503294,"GLACIER BAY, AK US",58.4561,-135.8692,13.7,METERS,1966-01-01,2023-12-30,1.0
508,GHCND:USC00503304,"GLENNALLEN KCAM, AK US",62.1086,-145.5331,421.5,METERS,1965-12-01,2024-03-13,1.0
510,GHCND:USC00503502,"HAINES NUMBER 2, AK US",59.23172,-135.46634,29.9,METERS,2000-01-01,2024-03-13,1.0
511,GHCND:USC00503504,"HAINES 40 NW, AK CA",59.4503,-136.3615,249.9,METERS,1989-01-01,2024-03-13,1.0
516,GHCND:USC00503605,"HIDDEN FALLS HACHRY, AK US",57.2177,-134.8769,6.7,METERS,1992-01-01,2024-01-31,1.0
520,GHCND:USC00503695,"HOONAH, AK US",58.1071,-135.4277,39.6,METERS,1941-05-01,2024-03-13,1.0
525,GHCND:USC00504103,"JUNEAU FORECAST OFFICE, AK US",58.4002,-134.5694,32.3,METERS,2001-12-01,2024-03-13,1.0
526,GHCND:USC00504107,"JUNEAU LENA POINT, AK US",58.3869,-134.7658,10.7,METERS,2000-01-01,2024-02-24,1.0
529,GHCND:USC00504165,"KALTAG AIRPORT, AK US",64.3208,-158.7326,52.6,METERS,1944-06-01,2024-03-12,0.1821
533,GHCND:USC00504621,"KEYSTONE RIDGE, AK US",64.9156,-148.2711,487.7,METERS,1996-01-01,2024-03-13,1.0
534,GHCND:USC00504812,"KITOI BAY, AK US",58.1913,-152.3722,18.3,METERS,1954-11-01,2023-12-31,1.0
537,GHCND:USC00504991,"KODIAK WWTP, AK US",57.8048,-152.3561,16.5,METERS,2005-01-01,2024-01-31,1.0
538,GHCND:USC00505136,"KUPARUK, AK US",70.3289,-149.6114,19.5,METERS,1983-01-01,2024-01-31,1.0
539,GHCND:USC00505464,"LAZY MOUNTAIN, AK US",61.6266,-149.0365,223.4,METERS,1984-01-01,2024-02-14,1.0
541,GHCND:USC00505519,"LITTLE PORT WALTER, AK US",56.383,-134.6497,4.3,METERS,1936-07-01,2024-03-13,1.0
543,GHCND:USC00505604,"MAIN BAY, AK US",60.5181,-148.0931,17.4,METERS,1982-10-01,2024-03-09,1.0
546,GHCND:USC00505733,"MATANUSKA EXPERIMENTAL FARM, AK US",61.5663,-149.2541,52.4,METERS,1917-07-01,2024-01-31,1.0
549,GHCND:USC00505778,"MCKINLEY PARK, AK US",63.7175,-148.9692,630.9,METERS,1923-01-01,2024-03-07,1.0
554,GHCND:USC00505881,"MINCHUMINA, AK US",63.9033,-152.2816,312.4,METERS,1945-01-01,2024-01-31,0.8197
555,GHCND:USC00505884,"MONASHKA CREEK DAM, AK US",57.8426,-152.4585,39.6,METERS,1909-09-01,2024-01-31,1.0
557,GHCND:USC00505894,"MOOSE PASS 3 NW, AK US",60.5029,-149.4261,150.0,METERS,1941-07-01,2023-12-31,1.0
559,GHCND:USC00506581,"NORTH POLE, AK US",64.7581,-147.3253,144.8,METERS,1968-10-01,2024-03-12,1.0
560,GHCND:USC00506870,"PALMER JOB CORPS, AK US",61.5888,-149.0992,65.8,METERS,1948-11-01,2024-01-27,1.0
562,GHCND:USC00507141,"PELICAN, AK US",57.9577,-136.2213,3.7,METERS,1967-01-01,2024-03-13,1.0
563,GHCND:USC00507442,"POINT LAY, AK US",69.73288,-163.00533,7.6,METERS,1941-09-01,2024-03-12,0.2235
565,GHCND:USC00507502,"PORTAGE GLACIER VISITOR CENTER, AK US",60.78351,-148.84839,32.5,METERS,1972-11-01,2024-03-12,1.0
566,GHCND:USC00507513,"PORT ALCAN, AK US",62.6211,-141.006,576.7,METERS,1985-09-01,2024-03-08,1.0
568,GHCND:USC00507570,"PORT ALSWORTH, AK US",60.2036,-154.3163,79.2,METERS,1960-01-01,2024-02-28,1.0
569,GHCND:USC00507738,"PORT SAN JUAN, AK US",60.0502,-148.0672,12.2,METERS,1980-01-01,2024-01-31,1.0
570,GHCND:USC00507783,"PUNTILLA, AK US",62.0911,-152.7349,566.3,METERS,1942-01-01,2024-03-13,1.0
578,GHCND:USC00508525,"SKAGWAY, AK US",59.4547,-135.3136,10.7,METERS,1898-11-01,2024-03-13,1.0
581,GHCND:USC00508584,"SNETTISHAM POWER PLANT, AK US",58.1421,-133.7385,8.8,METERS,1964-01-01,2024-03-13,1.0
583,GHCND:USC00508615,"SOLDOTNA 5 SSW, AK US",60.4194,-151.1336,54.9,METERS,2004-01-01,2024-02-29,1.0
593,GHCND:USC00509641,"UNIVERSITY EXPERIMENTAL STATION, AK US",64.8569,-147.861,144.8,METERS,1904-09-01,2024-01-31,1.0
596,GHCND:USC00509747,"WALLY NOERENBERG HATCHERY, AK US",60.7986,-148.0872,10.7,METERS,2002-01-01,2024-01-31,1.0
598,GHCND:USC00509793,"WHITESTONE FARMS, AK US",64.1539,-145.8894,303.3,METERS,1996-01-01,2024-03-13,1.0
599,GHCND:USC00509798,"WHITE MOUNTAIN, AK US",64.68333,-163.4,6.1,METERS,1922-01-01,2024-03-12,0.2214
602,GHCND:USC00509869,"WISEMAN, AK US",67.40822,-150.10958,360.0,METERS,1918-11-01,2024-03-13,1.0
603,GHCND:USC00509891,"NORTH POLE 1 N, AK US",64.76,-147.34,151.2,METERS,1996-12-01,2024-03-14,1.0
604,GHCND:USC00509919,"WRANGELL AIRPORT, AK US",56.4732,-132.3874,17.1,METERS,1917-11-01,2024-03-12,1.0
605,GHCND:USR0000AALC,"ALCAN HIGHWAY MI 1244 ALASKA, AK US",62.8167,-141.4667,548.6,METERS,1990-06-01,2023-12-02,0.9193
609,GHCND:USR0000ABCK,"BIRCH CREEK ALASKA, AK US",65.5847,-144.3636,259.1,METERS,1998-07-01,2024-02-06,0.8356
613,GHCND:USR0000ABIL,"BIG LAKE ALASKA, AK US",61.5183,-149.9078,30.5,METERS,2000-04-01,2024-02-06,0.7969
614,GHCND:USR0000ABNT,"BENTALIT ALASKA, AK US",61.9358,-150.9858,45.7,METERS,1999-07-01,2024-02-06,0.97
615,GHCND:USR0000ABOL,"BOLIO ALASKA, AK US",63.8667,-145.8333,746.8,METERS,2004-12-05,2024-02-06,0.665
618,GHCND:USR0000ABRO,"BROADVIEW ALASKA, AK US",60.4833,-149.7667,190.5,METERS,1989-09-01,2024-02-06,0.9042
620,GHCND:USR0000ACAM,"CAMPBELL CREEK ALASKA, AK US",61.1586,-149.7967,47.9,METERS,2005-12-31,2024-02-06,0.8607
621,GHCND:USR0000ACCR,"CARIBOU PEAK ALASKA, AK US",65.1892,-147.5003,480.1,METERS,1990-06-01,2024-02-06,0.8774
623,GHCND:USR0000ACHC,"CHICKEN CREEK ALASKA, AK US",62.1242,-141.8453,1597.2,METERS,2004-08-21,2024-02-06,0.9631
625,GHCND:USR0000ACHI,"CHISANA ALASKA, AK US",62.1333,-142.0833,1011.3,METERS,1988-07-01,2023-12-31,0.8356
626,GHCND:USR0000ACHL,"CHALKYITSIK ALASKA, AK US",66.5906,-144.3411,137.2,METERS,1997-06-01,2023-12-18,0.8274
628,GHCND:USR0000ACHS,"CHISTOCHINA ALASKA, AK US",62.5653,-144.6647,701.0,METERS,2001-06-01,2024-02-06,0.9483
629,GHCND:USR0000ACHT,"CHITNA ALASKA, AK US",61.5319,-144.4397,177.1,METERS,1998-10-01,2024-02-06,0.9714
630,GHCND:USR0000ACKN,"CHICKEN ALASKA, AK US",64.06,-141.9294,871.7,METERS,1998-09-01,2024-02-06,0.9195
631,GHCND:USR0000ACOA,"COAL CREEK ALASKA, AK US",65.3139,-143.1322,265.2,METERS,2004-11-05,2024-02-06,0.9625
632,GHCND:USR0000ACOT,"COTTONWOOD ALASKA, AK US",65.3458,-155.9361,399.3,METERS,1991-06-01,2024-02-06,0.7382
633,GHCND:USR0000ACOV,"COVILLE ALASKA, AK US",58.8025,-155.5628,457.2,METERS,2008-06-01,2024-02-06,0.9197
634,GHCND:USR0000ADEN,"DENALI VISITOR CENTER ALASKA, AK US",63.7322,-148.9055,548.6,METERS,2004-07-14,2024-02-06,0.6747
636,GHCND:USR0000ADON,"DONNELLY ALASKA, AK US",63.9833,-145.65,914.4,METERS,2004-12-05,2024-02-06,0.7147
